Đường,Phường,Quận/Huyện,Thành phố,duration_days,link,price,acreage,published,hashtag,package,category,public_date,expired_date
28/20 đường 11, cắt Đoàn Hữu Trưng 11, Phường An Phú," Quận 2, Hồ Chí Minh",7.0,https://phongtro123.com/cho-thue-phong-tro-nha-3-tang-quan-2-pr663798.html,2.9 triệu/tháng, 20m,2 ngày trước,663798,Tin thường,Phòng trọ Quận 2,2024-09-05 20:31:00,2024-09-12 20:31:00
416/34 Đường Nguyễn Đình Chiểu, Phường 4, Quận 3, Hồ Chí Minh,,https://phongtro123.com/cho-thue-phong-q3-fuff-noi-that-cua-so-ban-cong-3tr2-3tr5-pr663663.html,3.2 triệu/tháng, 20m,55 phút trước,663663,Tin thường,Phòng trọ Quận 3,,
166/18 Hồ Bá Kiện, Phường 15, Quận 10, Hồ Chí Minh,,https://phongtro123.com/cho-thue-phong-q10-ban-cong-cho-nau-an-gia-1tr900-pr656538.html,1.9 triệu/tháng, 12m,55 phút trước,656538,Tin thường,Phòng trọ Quận 10,,
474/41 Đường Nguyễn Tri Phương, Phường 9, Quận 10, Hồ Chí Minh,,https://phongtro123.com/cho-thue-phong-q3-rong-rai-thoai-mai-moi-keng-ban-cong-noi-that-3tr4-pr647847.html,3.5 triệu/tháng, 16m,55 phút trước,647847,Tin thường,Phòng trọ Quận 10,,2024-07-10 13:49:00
Đường Nguyễn Văn Cừ, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-phong-tro-gan-cau-nguyen-van-cu-quan-1-dt-25m2-nt-cao-cap-gia-4-trieu-pr663854.html,4 triệu/tháng, 25m,2 ngày trước,663854,Tin thường,Phòng trọ Quận 1,2024-09-06 14:10:00,2024-09-11 14:10:00
Lê Văn Thiêm, Phường Tân Phong, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/can-ho-rong-35-40m2-full-noi-that-ngay-le-van-thiem-phuong-tan-phong-quan-7-pr656825.html,7 triệu/tháng, 45m,2 ngày trước,656825,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,2024-09-06 13:45:00,2024-09-11 13:45:00
Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh,10.0,https://phongtro123.com/duplex-full-noi-that-nguyen-trai-quan-1-o-duoc-3-nguoi-pr663857.html,5.5 triệu/tháng, 33m,2 ngày trước,663857,Tin thường,Phòng trọ Quận 1,2024-09-06 14:34:00,2024-09-16 14:34:00
Tôn Đản, Phường 8, Quận 4, Hồ Chí Minh,5.0,https://phongtro123.com/nha-nguyen-can-hem-ton-dan-quan-8-dt-40m2-4pn-gan-dh-ntt-gia-8-trieu-thang-pr663853.html,8 triệu/tháng, 40m,2 ngày trước,663853,Tin thường,Cho thuê nhà Quận 4,2024-09-06 14:01:00,2024-09-11 14:01:00
210 Đường Cô Giang, Phường Cô Giang, Quận 1, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-phong-tro-tai-co-giang-quan-1-dt-25m2-du-nt-gia-chi-4-5-trieu-thang-pr663855.html,4.5 triệu/tháng, 25m,2 ngày trước,663855,Tin thường,Phòng trọ Quận 1,2024-09-06 14:18:00,2024-09-11 14:18:00
71 Đường Khuông Việt, Phường Phú Trung, Quận Tân Phú, Hồ Chí Minh,7.0,https://phongtro123.com/ky-tuc-xa-khuong-viet-tan-phu-gan-dh-van-hien-di-bo-gia-1tr5-pr663858.html,1.5 triệu/tháng, 35m,2 ngày trước,663858,Tin thường,Phòng trọ Quận Tân Phú,2024-09-06 14:39:00,2024-09-13 14:39:00
736 Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/chdv-nam-gan-toa-nha-viettie-tren-duong-cmt8-pr659500.html,5 triệu/tháng, 25m,2 ngày trước,659500,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,2024-09-06 14:45:00,2024-09-11 14:45:00
3/38/40 Thành Thái, Phường 14, Quận 10, Hồ Chí Minh,5.0,https://phongtro123.com/pass-phong-tro-thanh-thai-quan-10-pr663859.html,3.2 triệu/tháng, 14m,1 ngày trước,663859,Tin miễn phí,Phòng trọ Quận 10,2024-09-06 15:30:00,2024-09-11 15:30:00
Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/studio-sieu-xinh-tai-quan-7-gan-dh-tai-chinh-maketting-cau-tan-thuan-tran-xuan-xoan-pr654420.html,6 triệu/tháng, 35m,1 ngày trước,654420,Tin thường,Phòng trọ Quận 7,2024-09-06 15:34:00,2024-09-11 15:34:00
Phường Cát Lái, Quận 2, Hồ Chí Minh,,5.0,https://phongtro123.com/cho-thue-can-ho-duplex-tang-24-view-landmark81-thap-but-can-goc-pr663579.html,8.5 triệu/tháng, 60m,1 ngày trước,663579,Tin thường,Cho thuê căn hộ Quận 2,2024-09-06 15:07:00,2024-09-11 15:07:00
385/66 Đường Lê Văn Thọ, Phường 9, Quận Gò Vấp, Hồ Chí Minh,5.0,https://phongtro123.com/studio-101-voi-view-kinh-cuc-dep-phong-rong-rai-thoang-mat-pr663860.html,4.3 triệu/tháng, 25m,1 ngày trước,663860,Tin miễn phí,Phòng trọ Quận Gò Vấp,2024-09-06 15:43:00,2024-09-11 15:43:00
40 Đường Âu Cơ, Phường 10, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/phong-cho-thue-studio-sieu-rong-cua-so-lon-thoang-mat-full-noi-that-gia-tu-4tr-5-xtr-pr663862.html,4 triệu/tháng, 25m,1 ngày trước,663862,Tin miễn phí,Phòng trọ Quận Tân Bình,2024-09-06 15:58:00,2024-09-11 15:58:00
395 Đường Phạm Hữu Lầu, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-nha-nguyen-can-pham-huu-lau-huyen-nha-be-pr663861.html,15 triệu/tháng, 100m,1 ngày trước,663861,Tin miễn phí,Cho thuê nhà Huyện Nhà Bè,2024-09-06 15:43:00,2024-09-11 15:43:00
55 Đường Nguyễn Tri Phương, Phường 6, Quận 5, Hồ Chí Minh,5.0,https://phongtro123.com/tro-sinh-vien-moi-xay-sat-ben-nguyen-tri-phuong-cua-so-troi-quan-5-pr663864.html,5.2 triệu/tháng, 30m,1 ngày trước,663864,Tin thường,Phòng trọ Quận 5,2024-09-06 16:22:00,2024-09-11 16:22:00
Đường Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, Hồ Chí Minh,5.0,https://phongtro123.com/khai-truong-phong-moi-xay-day-du-noi-that-ban-cong-thoang-ngay-ma-lo-huong-lo-2-pr663851.html,4 triệu/tháng, 35m,2 ngày trước,663851,Tin thường,Phòng trọ Quận Bình Tân,2024-09-06 13:50:00,2024-09-11 13:50:00
212B Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh,5.0,https://phongtro123.com/khai-truong-can-duplex-bancol-moi-xay-100-pr663863.html,5.5 triệu/tháng, 28m,1 ngày trước,663863,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1,2024-09-06 16:20:00,2024-09-11 16:20:00
Phố Lý Thường Kiệt, Phường 15, Quận 10, Hồ Chí Minh,5.0,https://phongtro123.com/phong-tro-moi-xay-ly-thuong-kiet-cua-so-troi-quan-10-pr663866.html,4.5 triệu/tháng, 25m,1 ngày trước,663866,Tin thường,Phòng trọ Quận 10,2024-09-06 16:39:00,2024-09-11 16:39:00
1/16B Đường Đồ Sơn, Phường 4, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/phong-tro-chinh-chu-cho-gia-dinh-kho-trung-chuyen-pr663867.html,4.5 triệu/tháng, 20m,1 ngày trước,663867,Tin miễn phí,Phòng trọ Quận Tân Bình,2024-09-06 16:48:00,2024-09-11 16:48:00
Đường Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/phong-master-2-dang-rong-30m2-chung-cu-new-saigon-gan-dh-tdt-rmit-pr630568.html,4.3 triệu/tháng, 20m,2 ngày trước,630568,Tin thường,Phòng trọ Quận 7,2024-09-06 08:30:00,2024-09-11 08:30:00
204 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội,5.0,https://phongtro123.com/cho-thue-can-ho-studio-full-noi-that-tai-204-tran-duy-hung-gan-big-c-doi-dien-toa-nha-charmvit-tower-ks-grand-plaza-pr605313.html,5.5 triệu/tháng, 25m,2 ngày trước,605313,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy,2024-09-06 08:31:00,2024-09-11 18:19:00
204 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội,5.0,https://phongtro123.com/cho-thue-can-studio-full-do-tu-2-3-6-thang-tai-mat-duong-204-tran-duy-hung-doi-dien-charmvit-tower-vincom-d-capital-pr605632.html,5.95 triệu/tháng, 25m,2 ngày trước,605632,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy,2024-09-06 08:31:00,2024-09-11 18:19:00
493A/73/3 Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh,5.0,https://phongtro123.com/tinh-thanh/ho-chi-minh/cho-thue-phong-dep-ve-sinh-rieng-quan-10.html,2.6 triệu/tháng, 15m,2 ngày trước,59622,Tin thường,Phòng trọ Quận 10,2024-09-06 08:32:00,2024-09-11 08:32:00
Đường D4, Phường Tân Hưng, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/phong-cho-thue-chung-cu-luxgarden-sat-ben-cang-phu-thuan-quan-7-pr620950.html,5.2 triệu/tháng, 16m,2 ngày trước,620950,Tin thường,Phòng trọ Quận 7,2024-09-06 08:33:00,2024-09-11 08:33:00
711 Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,3.0,https://phongtro123.com/phong-homestay-cuc-chill-khu-vuc-nga-tu-ga-pr583367.html,3 triệu/tháng, 35m,2 ngày trước,583367,Tin thường,Phòng trọ Quận 12,2024-09-06 08:34:00,2024-09-09 11:41:00
204 Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội,5.0,https://phongtro123.com/cho-thue-can-ho-studio-full-noi-that-204-tran-duy-hung-gan-bigc-vincom-d-capitale-charmvit-tower-grand-plaza-pr605327.html,7.5 triệu/tháng, 25m,2 ngày trước,605327,Tin thường,Cho thuê căn hộ dịch vụ Quận Cầu Giấy,2024-09-06 08:31:00,2024-09-11 18:19:00
Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/phong-master-chung-cu-cao-cap-gan-dh-tdt-ntt-dh-luat-rmit-ufm-pr635130.html,3.6 triệu/tháng, 20m,2 ngày trước,635130,Tin thường,Phòng trọ Quận 7,2024-09-06 08:38:00,2024-09-11 08:38:00
656 Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,10.0,https://phongtro123.com/can-ho-mini-cuc-chill-ha-huy-giap-q12-pr589170.html,3 triệu/tháng, 35m,2 ngày trước,589170,Tin thường,Phòng trọ Quận 12,2024-09-06 08:40:00,2024-09-16 20:06:00
13/92 Trần Văn Hoàng, Phường 9, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/phong-tro-15m2-duong-tran-van-hoang-q-tan-binh-2-1-trieu-thang-pr628444.html,2 triệu/tháng, 16m,2 ngày trước,628444,Tin thường,Phòng trọ Quận Tân Bình,2024-09-06 09:02:00,2024-09-11 09:02:00
26 Đường số 30, Phường 6, Quận Gò Vấp, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-can-ho-mini-35m2-tai-26-duong-so-30-p6-go-vap-pr662828.html,2.2 triệu/tháng, 18m,2 ngày trước,662828,Tin miễn phí,Phòng trọ Quận Gò Vấp,2024-09-06 09:07:00,2024-09-11 09:07:00
Nhà trọ Phương Mai Đường DX 09, Xã Hội Nghĩa, Thành phố Tân Uyên, Bình Dương,7.0,https://phongtro123.com/cho-thue-phong-tro-phuong-mai-o-kp1-p-hoi-nghia-tan-uyen-binh-duong-gia-chi-1tr4-pr623187.html,1.4 triệu/tháng, 25m,1 ngày trước,623187,Tin thường,Phòng trọ Thành phố Tân Uyên,2024-09-06 16:07:00,2024-09-13 16:07:00
824/26 Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh,4.0,https://phongtro123.com/co-phong-re-ngay-trung-tam-quan-10-ke-ben-dai-hoc-tin-hoc-ngoai-ngu-y-pham-ngoc-thach-pr663753.html,2.2 triệu/tháng, 18m,2 ngày trước,663753,Tin miễn phí,Phòng trọ Quận 10,2024-09-06 09:09:00,2024-09-10 10:51:00
44 Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,5.0,https://phongtro123.com/cho-thue-phong-o-thang-phong-khach-san-pr663865.html,3 triệu/tháng, 25m,1 ngày trước,663865,Tin miễn phí,Phòng trọ Quận Sơn Trà,2024-09-06 16:28:00,2024-09-11 16:28:00
Lê Văn Việt, Phường Hiệp Phú, Quận 9, Hồ Chí Minh,5.0,https://phongtro123.com/ky-tuc-xa-thu-duc-cach-nga-tu-thu-duc-400m-gan-dh-spkt-cd-cong-nghe-pr663392.html,1.4 triệu/tháng, 35m,2 ngày trước,663392,Tin thường,Phòng trọ Quận 9,2024-09-06 09:10:00,2024-09-11 10:45:00
136 Đường Nguyễn Thượng Hiền, Phường 1, Quận Gò Vấp, Hồ Chí Minh,5.0,https://phongtro123.com/ky-tuc-xa-go-vap-moi-gan-pham-van-dong-dh-cong-nghiep-gia-tu-1tr7-bao-phi-pr662845.html,1.7 triệu/tháng, 35m,2 ngày trước,662845,Tin thường,Phòng trọ Quận Gò Vấp,2024-09-06 09:09:00,2024-09-11 10:47:00
Chung cư Hausneo 11, Phường Phú Hữu, Quận 9, Hồ Chí Minh,7.0,https://phongtro123.com/o-ghep-khu-chung-cu-cao-cap-hausneo-quan-9-pr616442.html,1.6 triệu/tháng, 73m,2 ngày trước,616442,Tin thường,Tìm người ở ghép Quận 9,2024-09-06 09:09:00,2024-09-13 09:09:00
5 Trần Thị Ngôi, Phường 4, Quận 8, Hồ Chí Minh,6.0,https://phongtro123.com/ky-tuc-xa-sleepbox-moi-q8-gan-dh-cong-nghe-sai-gon-cao-lo-gia-tu-1tr9-pr663444.html,1.9 triệu/tháng, 35m,2 ngày trước,663444,Tin thường,Phòng trọ Quận 8,2024-09-06 09:12:00,2024-09-12 12:59:00
56 Đường Phạm Thị Tánh, Phường 4, Quận 8, Hồ Chí Minh,6.0,https://phongtro123.com/ky-tuc-xa-sleepbox-moi-q8-gan-cd-bach-khoa-nam-sai-gon-gia-tu-1tr9-pr663446.html,1.9 triệu/tháng, 35m,2 ngày trước,663446,Tin thường,Phòng trọ Quận 8,2024-09-06 09:12:00,2024-09-12 13:16:00
Đường Trường Chinh, Phường 13, Quận Tân Bình, Hồ Chí Minh,7.0,https://phongtro123.com/sleepbox-truong-chinh-gan-hoc-vien-hang-khong-tien-nghi-gia-tu-1tr5-pr662855.html,1.5 triệu/tháng, 35m,2 ngày trước,662855,Tin thường,Phòng trọ Quận Tân Bình,2024-09-06 09:14:00,2024-09-13 09:14:00
Đường Trần Thị Nghĩ, Phường 7, Quận Gò Vấp, Hồ Chí Minh,7.0,https://phongtro123.com/sleepbox-rem-keo-moi-tran-thi-nghi-go-vap-gan-dh-cong-nghiep-gia-2tr-pr663081.html,2 triệu/tháng, 35m,2 ngày trước,663081,Tin thường,Phòng trọ Quận Gò Vấp,2024-09-06 09:14:00,2024-09-13 09:14:00
47 Trường Minh Ký, Phường 13, Quận Gò Vấp, Hồ Chí Minh,7.0,https://phongtro123.com/ky-tuc-xa-nga-tu-thong-nhat-le-duc-tho-chi-4ng-p-gia-1tr7-bao-het-chi-phi-pr663775.html,1.7 triệu/tháng, 35m,2 ngày trước,663775,Tin thường,Phòng trọ Quận Gò Vấp,2024-09-06 09:14:00,2024-09-13 09:14:00
Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/can-ho-dich-vu-tran-trong-cung-gan-kdc-nam-long-cau-tan-thuan-vincom-tran-trong-cung-pr655228.html,8 triệu/tháng, 40m,2 ngày trước,655228,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,2024-09-06 10:00:00,2024-09-11 10:00:00
Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Hồ Chí Minh,5.0,https://phongtro123.com/phong-master-chungcu-hoang-anh-gia-lai-3-gan-dh-tdt-rmit-pr618204.html,5 triệu/tháng, 20m,2 ngày trước,618204,Tin thường,Phòng trọ Huyện Nhà Bè,2024-09-06 08:35:00,2024-09-11 08:35:00
43 Đường An Bình, Phường 6, Quận 5, Hồ Chí Minh,5.0,https://phongtro123.com/phong-tro-sinh-vien-6m2-p6-q5-pr663822.html,1.6 triệu/tháng, 6m,2 ngày trước,663822,Tin miễn phí,Phòng trọ Quận 5,2024-09-06 09:23:00,2024-09-11 09:23:00
Đường số 9, Phường Tân Phong, Quận 7, Hồ Chí Minh,5.0,https://phongtro123.com/studio-tai-kdc-kim-son-gan-lotte-pr663827.html,7 triệu/tháng, 30m,2 ngày trước,663827,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,2024-09-06 10:08:00,2024-09-11 10:08:00
15a/42a Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-phong-studio-30m-du-tien-nghi-chinh-chu-gia-uu-dai-pr663823.html,5.5 triệu/tháng, 30m,2 ngày trước,663823,Tin thường,Phòng trọ Quận 1,2024-09-06 10:01:00,2024-09-11 10:01:00
163/12/7y Tô Hiến Thành Đường Tô Hiến Thành, Phường 13, Quận 10, Hồ Chí Minh,5.0,https://phongtro123.com/tinh-thanh/ho-chi-minh/nha-tro-cho-thue-gia-re-163127-to-hien-thanh-nha-moi-thoang-mat-gan-nhieu-truong-dai-hocco-the-o-tu-4-5-nguoi.html,3 triệu/tháng, 25m,2 ngày trước,28109,Tin thường,Phòng trọ Quận 10,2024-09-06 10:14:00,2024-09-11 10:14:00
32/42 Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-nha-nguyen-can-du-noi-that-duong-bui-dinh-tuy-pr663829.html,25 triệu/tháng, 220m,2 ngày trước,663829,Tin miễn phí,Cho thuê nhà Quận Bình Thạnh,2024-09-06 10:19:00,2024-09-11 10:19:00
945/31/1 Quốc lộ 1A, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh,10.0,https://phongtro123.com/cho-thue-nha-hem-xe-hoi-12m-ngay-vong-xoay-an-lac-pr654030.html,14 triệu/tháng, 90m,2 ngày trước,654030,Tin thường,Cho thuê nhà Quận Bình Tân,2024-09-06 10:14:00,2024-09-16 10:14:00
488 Phố Lê Trọng Tấn, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh,5.0,https://phongtro123.com/phong-mini-1-nguoi-sleepbox-tien-nghi-488-le-trong-tan-q-tan-phu-2-pr656697.html,1.5 triệu/tháng, 40m,2 ngày trước,656697,Tin thường,Phòng trọ Quận Tân Phú,2024-09-06 11:14:00,2024-09-11 11:14:00
28 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh,5.0,https://phongtro123.com/share-phong-o-ghep-chung-cu-cao-cap-quan-2-6-pr663830.html,3.3 triệu/tháng, 30m,2 ngày trước,663830,Tin miễn phí,Tìm người ở ghép Quận 2,2024-09-06 10:22:00,2024-09-11 10:22:00
Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Hồ Chí Minh,5.0,https://phongtro123.com/can-nu-o-ghep-dien-bien-phu-phuong-15-binh-thanh-gan-uef-hong-bang-thuy-loi-pr663831.html,1.2 triệu/tháng, 30m,2 ngày trước,663831,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh,2024-09-06 10:26:00,2024-09-11 10:26:00
